Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
M. Harness,Huddersfield Town,Huddersfield Town,AMF,"AMF, RAMF, RCMF",England League One 2025-26,30.0,800000,30/06/2028,no,3207,63.56,54.65,52.67,64.57,48.98,65.75,66.29,4.74,63.91,30.36,72.92,0.56,0.12,0.81,28.74,2.44,60.0,2.67,0.25,0.14,0.16,41.3,58.96,7.13,5.95,37.21,3.62,0.2,0.0,0.0,1.01
A. Mayor,Cambridge United,Cambridge United,LAMF,"LAMF, LWB, LW",England League Two 2025-26,21.0,0,30/06/2027,yes,1844,56.12,42.74,78.5,87.62,35.25,65.03,66.19,6.74,63.77,28.6,62.12,0.24,0.18,0.63,28.44,5.32,80.82,3.56,0.34,0.1,0.04,42.86,64.49,6.0,5.22,48.0,2.44,0.34,0.0,0.0,0.88
T. Iorpenda,Notts County,Notts County,AMF,"AMF, LCMF",England League Two 2025-26,21.0,0,30/06/2027,yes,3518,61.28,44.37,42.32,67.7,41.57,91.95,66.09,2.81,68.18,26.68,80.15,0.38,0.11,0.77,23.68,1.94,52.67,3.35,0.59,0.08,0.14,42.0,68.86,8.42,7.39,42.86,4.12,0.03,0.03,0.0,0.03
R. Hendry,Mansfield Town,Mansfield Town,AMF,"AMF, LCMF, LAMF",England League One 2025-26,28.0,300000,30/06/2027,no,1261,76.86,64.99,54.61,54.25,32.49,44.23,66.0,4.92,73.91,31.48,78.91,0.57,0.19,0.93,32.26,2.21,55.56,1.93,0.07,0.14,0.07,25.0,61.22,4.14,3.5,43.75,2.28,0.43,0.07,100.0,2.21
S. Banks,Barnsley,Barnsley,RAMF,"RAMF, LAMF, RW",England League One 2025-26,24.0,300000,30/06/2026,yes,1491,51.29,60.23,59.94,74.01,62.08,58.7,66.0,3.86,68.75,22.94,72.37,0.72,0.16,0.48,31.91,2.84,64.29,4.23,0.18,0.24,0.17,45.45,60.71,5.92,5.07,17.65,2.05,0.18,0.0,0.0,0.48
D. Duffy,Chesterfield,Chesterfield,LAMF,"LAMF, AMF, CF",England League Two 2025-26,23.0,0,30/06/2026,no,1704,54.85,61.25,78.36,62.06,46.11,59.77,65.81,3.86,72.6,26.41,70.2,0.74,0.18,0.37,29.9,5.12,53.62,3.64,0.16,0.11,0.15,43.24,61.0,5.86,5.28,38.52,6.44,0.74,0.26,40.0,1.64
R. Smith,Harrogate Town,Harrogate Town,LAMF,"LAMF, AMF",England League Two 2025-26,23.0,0,30/06/2027,no,3768,61.78,46.92,58.97,81.05,32.85,67.04,65.62,4.97,59.62,31.15,71.17,0.38,0.13,0.79,30.83,2.87,60.0,4.54,0.69,0.05,0.11,36.17,61.2,6.71,5.97,26.98,3.01,0.24,0.0,0.0,1.91
J. Clark,Luton Town,Luton Town,AMF,"AMF, LCMF",England League One 2025-26,32.0,1000000,,no,3110,75.03,48.98,39.1,55.03,66.73,53.71,65.43,4.86,80.36,30.27,76.86,0.38,0.1,1.07,23.64,1.59,48.72,3.39,0.06,0.23,0.34,27.85,60.9,5.96,3.85,31.94,4.17,0.29,0.0,0.0,1.45
M. Clark,Fleetwood Town,Fleetwood Town,LW,"LW, LWB, RWB",England League Two 2025-26,27.0,200000,30/06/2026,yes,854,80.17,41.06,68.3,65.16,7.02,63.42,65.23,7.9,74.67,32.78,70.1,0.42,0.05,0.84,36.67,3.16,51.43,3.69,0.42,0.0,0.09,0.0,60.0,7.48,4.74,45.24,4.43,0.0,0.0,0.0,0.0
C. Ashford,Cardiff City,Cardiff City,RAMF,"RAMF, LAMF, RW",England League One 2025-26,21.0,0,30/06/2030,no,2422,63.38,57.39,50.42,68.4,49.62,55.02,65.1,2.34,65.08,28.13,82.83,0.45,0.1,1.34,24.0,2.79,56.9,4.31,0.19,0.15,0.22,30.61,65.79,4.38,4.24,42.11,1.41,0.07,0.0,0.0,0.22
