Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Defending Att,Aerial Att,Pass Retention Att,Pass Progression Att,Discipline Att,CB Rating,"Defensive duels won, %",PAdj Interceptions,PAdj Sliding tackles,Successful defensive actions per 90,Shots blocked per 90,"Aerial duels won, %",Aerial duels per 90,"Accurate short / medium passes, %",Short / medium passes per 90,Received passes per 90,Progressive passes per 90,"Accurate progressive passes, %",Fouls per 90,Yellow cards per 90,Red cards per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
J. Ball,Swindon Town,Swindon Town,RCB,"RCB, CB, RDMF",England League Two 2025-26,30.0,100000,30/06/2027,no,1134,56.74,43.09,51.6,52.35,71.14,59.9,76.79,8.49,0.47,9.52,0.4,55.56,5.71,84.49,25.08,18.49,6.75,61.18,0.48,0.16,0.08,0.0,0.0,0.0,0.0
D. Conroy,Crawley Town,Crawley Town,CB,CB,England League Two 2025-26,30.0,175000,30/06/2027,no,1926,54.49,33.27,83.09,69.24,70.03,59.87,64.1,9.89,1.12,8.32,0.56,57.35,3.18,93.47,46.54,29.86,8.64,68.11,0.75,0.14,0.0,0.42,0.28,33.33,0.0
J. Fitzwater,Exeter City,Exeter City,CB,"CB, RCB",England League One 2025-26,28.0,375000,30/06/2027,no,2838,50.31,39.95,81.22,58.27,72.56,59.82,71.93,8.17,0.22,10.02,0.79,55.15,5.23,92.51,43.6,32.73,8.09,61.18,0.6,0.19,0.0,0.0,0.0,0.0,0.0
M. Forbes,Northampton Town,Northampton Town,LCB,LCB,England League One 2025-26,21.0,600000,30/06/2026,yes,1794,45.29,57.08,45.81,51.78,77.45,59.82,76.64,7.39,0.0,9.33,0.5,54.91,8.68,81.61,22.37,18.81,7.22,59.03,0.7,0.05,0.0,0.2,0.0,0.0,0.0
D. Happe,Leyton Orient,Leyton Orient,LCB,"LCB, CB",England League One 2025-26,27.0,225000,30/06/2026,no,2896,38.17,72.33,63.12,60.69,50.57,59.54,65.55,9.6,0.1,8.45,0.47,68.89,6.99,87.91,31.89,23.56,8.73,60.85,0.99,0.31,0.0,0.0,0.0,0.0,0.0
D. Collinge,Barnet,Barnet,RCB,"RCB, RB",England League Two 2025-26,27.0,0,,no,4069,43.01,52.34,60.54,72.34,75.29,59.49,79.75,6.61,0.2,7.98,0.18,60.15,5.99,86.86,31.32,22.12,8.76,70.2,0.64,0.09,0.02,0.0,0.0,0.0,0.0
K. Balmer,Bristol Rovers,Bristol Rovers,RCB,RCB,England League Two 2025-26,25.0,175000,30/06/2026,yes,1853,53.47,41.96,37.24,71.43,82.89,59.15,75.89,7.68,0.49,9.03,0.58,57.58,4.81,76.92,22.73,15.06,9.86,65.52,0.39,0.15,0.0,0.05,0.0,0.0,0.0
G. Johnston,Bolton Wanderers,Bolton Wanderers,LCB,"LCB, LB",England League One 2025-26,27.0,300000,30/06/2026,no,3944,30.22,62.64,94.85,77.49,63.07,59.14,62.62,7.43,0.46,7.64,0.52,62.82,7.12,93.47,54.13,45.59,9.29,72.48,0.87,0.18,0.0,0.0,0.0,0.0,0.0
P. Farquharson,Walsall,Walsall,RCB,RCB,England League Two 2025-26,29.0,100000,30/06/2026,no,1855,53.65,52.03,36.12,59.2,66.8,59.06,77.23,6.41,0.75,8.88,0.53,60.33,5.87,79.78,17.51,10.04,7.91,62.58,0.82,0.15,0.0,0.0,0.0,0.0,0.0
Z. Awe,Salford City,Salford City,LCB,"LCB, CB",England League Two 2025-26,22.0,0,30/06/2027,no,749,43.17,60.62,39.61,44.28,79.79,58.93,79.25,6.45,0.17,9.61,0.0,56.0,9.01,83.46,15.98,7.57,6.49,55.56,0.72,0.0,0.0,0.0,0.0,0.0,0.0
